בית המרכבות;בֵּית הַמַּרְכָּבֹות
בית העמק;בֵּית הָעֵמֶק
בית הערבה;בֵּית הָעֲרָבָה
בית הרם;בֵּית הָרָם
בית הרן;בֵּית הָרָן
בית השׁטה;בֵּית הַשִּׁטָּה
בית השׁמשׁי;בֵּית־הַשִּׁמְשִׁי
בית חגלה;בֵּית חָגְלָה
בית חורון;בֵּית חֹורֹון
בית כר;בֵּית כָּר
בית לבאות;בֵּית לְבָאֹות
בית לחם;בֵּית לֶחֶם
בית לעפרה;בֵּית לְעַפְרָה
בית מלוא;בֵּית מִלֹּוא
בית מעון;בֵּית מְעֹון
בית נמרה;בֵּית נִמְרָה
בית עדן;בֵּית עֶדֶן
בית עזמות;בֵּית־עַזְמָוֶת
בית ענות;בֵּית־עֲנֹות
בית ענת;בֵּית עֲנָת
בית עקד;בֵּית־עֵקֶד
